id;name;description;date;latitude;longitude;jhi_user;pubish;category
1;Клатч withdrawal операционный;deposit front-end;2022-09-08;72646;80174;deposit;INVISIBLE;SPORT
2;основной обувь PNG;Эргономичный Национальный;2022-09-09;72068;97493;Липецкая withdrawal запрограммировать;WRITE;CHARITY
3;определение integrate;код front-end Резиновый;2022-09-09;17773;84574;скачивание интеграционный лиловый;WRITE;CHARITY
4;менеджер infrastructure;Гранитный EXE туризм;2022-09-08;78569;5969;красота ул. орхидный;WRITE;CHARITY
5;Бетонный коммуникационный Хорватия;Colombian Фильмы;2022-09-08;23406;40243;Cambridgeshire Деревянный;INVISIBLE;SPORT
6;Home;улица cross-platform техник;2022-09-09;82749;94614;Кепка;PUBLIC;CHARITY
7;rich;Национальный Kenyan;2022-09-09;36710;50087;Гвинея;WRITE;SPORT
8;Optional логистический промышленное;Ботинок Спорт and;2022-09-09;38440;26008;markets HTTP беспроводной;WRITE;CHARITY
9;drive;кортеж;2022-09-09;75800;19271;твердотельный;INVISIBLE;SPORT
10;Региональный functionalities;Public-key Account;2022-09-09;87462;52084;didactic payment;PUBLIC;SPORT
