id;name;description;path
1;Лоснящийся;детское Account;Account пр. для
2;БИОС;infrastructures кросс-платформенный;запрограммировать Большой
3;Интеллектуальный;онлайн holistic mobile;Шри-Ланка Belize Хлопковый
4;Электроника maximize Home;функциональный invoice;пурпурный Бетонный
5;proactive Деревянный;Cambridgeshire target синий;Cambridgeshire
6;небесно optimize;Деревянный Резиновый;ROI
7;Меха координатор;e-business;переопределить Пластиковый
8;blockchains sticky;Forint;садинструмент
9;morph Дагестан;area;payment magnetic
10;сенсор Тамбовская Бурятия;Стальной redefine;Loan evolve
